Identifikace přejezdu,TÚ přejezdu,Evidenční km poloha,Zabezpečení přejezdu,Krajský úřad,Oblastní ředitelství,Třída komunikace,Zeměpisná šířka,Zeměpisná délka
P5474,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"33,665",S - Světelná PZZ bez závor,Královéhradecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 31' 09.52809'' N,16° 04' 02.08645'' E
P5475,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"35,720",S - Světelná PZZ se závorami,Královéhradecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 31' 51.79543'' N,16° 02' 51.47808'' E
P5476,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"36,229",S - Světelná PZZ bez závor,Královéhradecký kraj,65099 - OŘ Hradec Králové,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 32' 02.24324'' N,16° 02' 31.89950'' E
P5477,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"36,815",S - Světelná PZZ bez závor,Královéhradecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 32' 09.30801'' N,16° 02' 04.44749'' E
P5478,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"38,077",S - Světelná PZZ se závorami,Královéhradecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 32' 25.50800'' N,16° 01' 19.99642'' E
P5479,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"38,677",S - Světelná PZZ bez závor,Královéhradecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 32' 09.11207'' N,16° 01' 03.55395'' E
P548,0281 - Protivín (mimo) - Zdice (mimo),"82,756",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,49° 45' 46.39121'' N,14° 00' 17.28601'' E
P5480,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"39,308",S - Světelná PZZ bez závor,Královéhradecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 32' 00.67985'' N,16° 00' 36.31111'' E
P5482,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"48,000",N - Přejezd zabezpečený pouze výstražným křížem,Královéhradecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 35' 06.19906'' N,15° 57' 01.75377'' E
P5484,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"50,353",N - Přejezd zabezpečený pouze výstražným křížem,Královéhradecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 36' 14.23125'' N,15° 56' 25.91681'' E
P5485,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"57,042",N - Přejezd zabezpečený pouze výstražným křížem,Královéhradecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 38' 49.82906'' N,15° 57' 32.08160'' E
P5486,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"58,734",S - Světelná PZZ se závorami,Královéhradecký kraj,65099 - OŘ Hradec Králové,I. - silnice I.třídy,50° 39' 35.65872'' N,15° 58' 04.92316'' E
P5487,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"60,028",S - Světelná PZZ se závorami,Královéhradecký kraj,65099 - OŘ Hradec Králové,II. - silnice II.třídy,50° 40' 15.59881'' N,15° 58' 04.92509'' E
P5488,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"60,592",S - Světelná PZZ se závorami,Královéhradecký kraj,65099 - OŘ Hradec Králové,I. - silnice I.třídy,50° 40' 30.24505'' N,15° 58' 22.33431'' E
P549,0281 - Protivín (mimo) - Zdice (mimo),"83,503",M - Mechanická PZZ,Středočeský kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,49° 46' 09.74291'' N,14° 00' 19.08750'' E
P5490,1651 - Jaroměř (mimo) - Lubawka (PKP) (část),"61,612",N - Přejezd zabezpečený pouze výstražným křížem,Královéhradecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 40' 57.49813'' N,15° 58' 51.63859'' E
P5491,1661 - Železný Brod (mimo) - Tanvald (mimo),"2,256",N - Přejezd zabezpečený pouze výstražným křížem,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 38' 02.98201'' N,15° 18' 03.01885'' E
P5492,1661 - Železný Brod (mimo) - Tanvald (mimo),"4,477",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 38' 48.85447'' N,15° 19' 13.92622'' E
P5493,1661 - Železný Brod (mimo) - Tanvald (mimo),"12,223",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,I. - silnice I.třídy,50° 42' 04.75857'' N,15° 19' 04.42787'' E
P5494,1661 - Železný Brod (mimo) - Tanvald (mimo),"12,927",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,B - místní komunikace - sběrná,50° 42' 25.18609'' N,15° 18' 53.92297'' E
P5495,1661 - Železný Brod (mimo) - Tanvald (mimo),"13,091",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,B - místní komunikace - sběrná,50° 42' 30.09423'' N,15° 18' 51.25857'' E
P5496,1661 - Železný Brod (mimo) - Tanvald (mimo),"13,782",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 42' 52.28126'' N,15° 18' 47.28617'' E
P5497,1661 - Železný Brod (mimo) - Tanvald (mimo),"14,410",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 43' 11.59996'' N,15° 18' 49.06843'' E
P5498,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"2,073",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 44' 52.06441'' N,15° 03' 34.61356'' E
P5499,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"2,278",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 44' 49.58284'' N,15° 03' 44.16874'' E
P55,0101 - Praha-Bubny (mimo) - Chomutov-záp.zhlaví (mimo),"92,515",S - Světelná PZZ se závorami,Ústecký kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 16' 54.66501'' N,13° 33' 25.82605'' E
P550,0281 - Protivín (mimo) - Zdice (mimo),"84,542",S - Světelná PZZ se závorami,Středočeský kraj,66699 - OŘ Praha,D1 - místní komunikace - pěší a obytné zóny,49° 46' 39.47044'' N,14° 00' 01.50190'' E
P5500,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"2,361",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,B - místní komunikace - sběrná,50° 44' 48.52116'' N,15° 03' 48.34416'' E
P5501,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"3,120",N - Přejezd zabezpečený pouze výstražným křížem,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 44' 47.70720'' N,15° 04' 26.30716'' E
P5502,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"3,531",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 44' 39.34658'' N,15° 04' 42.19533'' E
P5503,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"3,772",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 44' 35.48522'' N,15° 04' 52.85086'' E
P5504,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"3,953",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 44' 31.73962'' N,15° 04' 59.72880'' E
P5505,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"4,829",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 44' 24.22046'' N,15° 05' 41.56271'' E
P5507,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"5,008",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 44' 25.38685'' N,15° 05' 50.27312'' E
P5508,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"5,446",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 44' 17.88730'' N,15° 06' 06.75157'' E
P5509,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"5,626",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 44' 12.11137'' N,15° 06' 06.73689'' E
P551,0281 - Protivín (mimo) - Zdice (mimo),"87,149",S - Světelná PZZ se závorami,Středočeský kraj,66699 - OŘ Praha,II. - silnice II.třídy,49° 47' 36.23671'' N,13° 58' 56.34635'' E
P5511,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"5,938",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 44' 04.18950'' N,15° 06' 15.22734'' E
P5512,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"6,105",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 44' 01.53144'' N,15° 06' 22.65329'' E
P5513,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"6,222",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 44' 00.16947'' N,15° 06' 27.96647'' E
P5514,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"7,257",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 43' 37.64108'' N,15° 07' 01.04485'' E
P5515,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"7,610",N - Přejezd zabezpečený pouze výstražným křížem,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 43' 30.97761'' N,15° 07' 15.39330'' E
P5516,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"7,740",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 43' 28.59194'' N,15° 07' 20.96285'' E
P5517,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"8,082",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 43' 24.78506'' N,15° 07' 37.14930'' E
P5518,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"8,494",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 43' 17.26902'' N,15° 07' 53.46556'' E
P5519,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"11,183",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 43' 40.60591'' N,15° 09' 10.43532'' E
P552,0281 - Protivín (mimo) - Zdice (mimo),"87,595",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,49° 47' 49.04608'' N,13° 58' 48.50349'' E
P5520,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"11,969",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,B - místní komunikace - sběrná,50° 43' 19.96332'' N,15° 09' 30.67067'' E
