Identifikace přejezdu,TÚ přejezdu,Evidenční km poloha,Zabezpečení přejezdu,Krajský úřad,Oblastní ředitelství,Třída komunikace,Zeměpisná šířka,Zeměpisná délka
P10,0101 - Praha-Bubny (mimo) - Chomutov-záp.zhlaví (mimo),"9,279",S - Světelná PZZ bez závor,Hlavní město Praha,66699 - OŘ Praha,D1 - místní komunikace - pěší a obytné zóny,50° 05' 25.95927'' N,14° 19' 44.13907'' E
P100,0112 - Chomutov-záp.zhlaví (mimo) - Cheb (mimo),"234,565",S - Světelná PZZ se závorami,Karlovarský kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 05' 34.51476'' N,12° 23' 45.75966'' E
P1000,0381 - Strakonice (mimo) - Volary (mimo),"34,451",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,D2 - místní komunikace – nepřístupné motorovým vozidlům,49° 03' 00.66913'' N,13° 46' 32.25326'' E
P1001,0381 - Strakonice (mimo) - Volary (mimo),"34,615",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 02' 58.98565'' N,13° 46' 24.61496'' E
P1002,0381 - Strakonice (mimo) - Volary (mimo),"35,375",S - Světelná PZZ se závorami,Jihočeský kraj,85499 - OŘ Plzeň,I. - silnice I.třídy,49° 02' 54.90110'' N,13° 45' 48.29633'' E
P1005,0381 - Strakonice (mimo) - Volary (mimo),"40,412",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 02' 05.68249'' N,13° 43' 30.48509'' E
P1006,0381 - Strakonice (mimo) - Volary (mimo),"41,172",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 01' 44.22024'' N,13° 43' 19.66077'' E
P1007,0381 - Strakonice (mimo) - Volary (mimo),"41,966",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 01' 20.14202'' N,13° 43' 31.86049'' E
P1008,0381 - Strakonice (mimo) - Volary (mimo),"42,650",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 01' 11.22633'' N,13° 43' 56.73613'' E
P101,0121 - Tršnice (mimo) - Luby u Chebu (včetně),"0,955",N - Přejezd zabezpečený pouze výstražným křížem,Karlovarský kraj,67299 - OŘ Ústí nad Labem,H - účelové komunikace - polní cesty hlavní,50° 07' 17.96517'' N,12° 24' 15.17267'' E
P1011,0381 - Strakonice (mimo) - Volary (mimo),"46,240",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 00' 03.02582'' N,13° 45' 50.76704'' E
P1013,0381 - Strakonice (mimo) - Volary (mimo),"48,028",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 59' 12.13081'' N,13° 46' 18.69781'' E
P1014,0381 - Strakonice (mimo) - Volary (mimo),"48,438",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 59' 00.22504'' N,13° 46' 25.17295'' E
P1015,0381 - Strakonice (mimo) - Volary (mimo),"49,654",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 58' 26.37974'' N,13° 46' 40.59901'' E
P1016,0381 - Strakonice (mimo) - Volary (mimo),"50,980",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 57' 49.99426'' N,13° 46' 25.58030'' E
P1017,0381 - Strakonice (mimo) - Volary (mimo),"51,780",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 57' 29.98924'' N,13° 46' 50.19609'' E
P102,0121 - Tršnice (mimo) - Luby u Chebu (včetně),"1,614",S - Světelná PZZ bez závor,Karlovarský kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 07' 36.57416'' N,12° 24' 14.01119'' E
P1020,0381 - Strakonice (mimo) - Volary (mimo),"54,318",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 57' 10.94049'' N,13° 48' 22.24658'' E
P1021,0381 - Strakonice (mimo) - Volary (mimo),"55,007",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 57' 23.63303'' N,13° 48' 49.83471'' E
P1023,0381 - Strakonice (mimo) - Volary (mimo),"55,674",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 57' 34.78643'' N,13° 49' 15.38253'' E
P1024,0381 - Strakonice (mimo) - Volary (mimo),"57,040",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 57' 18.05196'' N,13° 49' 36.66885'' E
P1025,0381 - Strakonice (mimo) - Volary (mimo),"57,345",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 57' 10.47250'' N,13° 49' 27.21908'' E
P1026,0381 - Strakonice (mimo) - Volary (mimo),"57,825",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 56' 58.56982'' N,13° 49' 11.92226'' E
P1027,0381 - Strakonice (mimo) - Volary (mimo),"58,788",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 56' 31.26197'' N,13° 48' 49.16145'' E
P1028,0381 - Strakonice (mimo) - Volary (mimo),"59,303",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 56' 18.88007'' N,13° 48' 32.98327'' E
P103,0121 - Tršnice (mimo) - Luby u Chebu (včetně),"2,111",S - Světelná PZZ bez závor,Karlovarský kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 07' 52.18612'' N,12° 24' 14.28360'' E
P1031,0381 - Strakonice (mimo) - Volary (mimo),"61,171",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 55' 39.37894'' N,13° 47' 49.60050'' E
P1032,0381 - Strakonice (mimo) - Volary (mimo),"61,796",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 55' 22.75402'' N,13° 47' 52.58977'' E
P1033,0381 - Strakonice (mimo) - Volary (mimo),"62,124",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,C - místní komunikace - obslužná,48° 55' 24.31837'' N,13° 48' 07.83061'' E
P1034,0381 - Strakonice (mimo) - Volary (mimo),"62,771",S - Světelná PZZ se závorami,Jihočeský kraj,85499 - OŘ Plzeň,I. - silnice I.třídy,48° 55' 20.00356'' N,13° 48' 39.16586'' E
P1036,0381 - Strakonice (mimo) - Volary (mimo),"64,811",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 54' 33.46678'' N,13° 49' 28.66650'' E
P1037,0381 - Strakonice (mimo) - Volary (mimo),"65,097",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,48° 54' 29.07093'' N,13° 49' 40.80314'' E
P1039,0381 - Strakonice (mimo) - Volary (mimo),"65,673",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 54' 28.06216'' N,13° 50' 08.81471'' E
P104,0121 - Tršnice (mimo) - Luby u Chebu (včetně),"3,562",S - Světelná PZZ bez závor,Karlovarský kraj,67299 - OŘ Ústí nad Labem,V - účelové komunikace - polní cesty vedlejší,50° 08' 34.44694'' N,12° 24' 07.54856'' E
P1041,0381 - Strakonice (mimo) - Volary (mimo),"66,952",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 54' 02.13248'' N,13° 50' 55.32063'' E
P1044,0381 - Strakonice (mimo) - Volary (mimo),"68,489",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 53' 33.61012'' N,13° 51' 53.74214'' E
P1045,0381 - Strakonice (mimo) - Volary (mimo),"68,837",N - Přejezd zabezpečený pouze výstražným křížem,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 53' 37.52349'' N,13° 52' 09.34996'' E
P1047,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"0,769",S - Světelná PZZ se závorami,Středočeský kraj,66699 - OŘ Praha,C - místní komunikace - obslužná,50° 06' 01.29654'' N,13° 43' 32.72354'' E
P1048,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"1,259",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,III. - silnice III.třídy,50° 06' 03.90508'' N,13° 43' 08.78021'' E
P1049,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"1,712",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,C - místní komunikace - obslužná,50° 06' 06.95557'' N,13° 42' 49.51607'' E
P105,0121 - Tršnice (mimo) - Luby u Chebu (včetně),"3,792",S - Světelná PZZ se závorami,Karlovarský kraj,67299 - OŘ Ústí nad Labem,III. - silnice III.třídy,50° 08' 41.91838'' N,12° 24' 06.85165'' E
P1050,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"3,698",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,50° 06' 17.44994'' N,13° 41' 16.97044'' E
P1051,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"5,509",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,V - účelové komunikace - polní cesty vedlejší,50° 06' 01.30448'' N,13° 39' 55.57339'' E
P1052,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"6,379",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,III. - silnice III.třídy,50° 05' 47.26255'' N,13° 39' 18.05908'' E
P1053,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"6,441",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,H - účelové komunikace - polní cesty hlavní,50° 05' 46.71719'' N,13° 39' 15.08178'' E
P1054,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"7,303",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,V - účelové komunikace - polní cesty vedlejší,50° 05' 42.15235'' N,13° 38' 32.33742'' E
P1055,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"7,512",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,V - účelové komunikace - polní cesty vedlejší,50° 05' 40.33249'' N,13° 38' 22.17674'' E
P1056,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"7,969",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,III. - silnice III.třídy,50° 05' 34.86807'' N,13° 38' 01.25936'' E
P1057,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"8,378",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,50° 05' 30.52245'' N,13° 37' 42.47553'' E
P1058,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"10,172",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,D - účelové komunikace - polní cesty doplňkové,50° 06' 01.26945'' N,13° 36' 27.36115'' E
P1059,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"11,174",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,III. - silnice III.třídy,50° 06' 19.07322'' N,13° 35' 44.98168'' E
P106,0121 - Tršnice (mimo) - Luby u Chebu (včetně),"5,274",N - Přejezd zabezpečený pouze výstražným křížem,Karlovarský kraj,67299 - OŘ Ústí nad Labem,3L - účelové komunikace - lesní cesty 3.třídy,50° 09' 11.64942'' N,12° 23' 09.21323'' E
P1060,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"11,975",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,V - účelové komunikace - polní cesty vedlejší,50° 06' 20.65641'' N,13° 35' 05.48646'' E
P1061,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"13,317",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,V - účelové komunikace - polní cesty vedlejší,50° 06' 26.28471'' N,13° 34' 00.32061'' E
P1062,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"14,425",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,D - účelové komunikace - polní cesty doplňkové,50° 06' 28.18925'' N,13° 33' 06.90417'' E
P1063,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"14,654",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,III. - silnice III.třídy,50° 06' 26.33604'' N,13° 32' 56.13949'' E
P1064,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"14,760",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,D1 - místní komunikace - pěší a obytné zóny,50° 06' 26.21756'' N,13° 32' 50.82374'' E
P1065,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"15,618",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,V - účelové komunikace - polní cesty vedlejší,50° 06' 28.67947'' N,13° 32' 08.72511'' E
P1066,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"17,058",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,50° 06' 26.02656'' N,13° 31' 06.54357'' E
P1067,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"19,084",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,II. - silnice II.třídy,50° 06' 06.81958'' N,13° 29' 37.43967'' E
P1068,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"19,712",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,II. - silnice II.třídy,50° 05' 59.62270'' N,13° 29' 09.04709'' E
P1069,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"20,173",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,H - účelové komunikace - polní cesty hlavní,50° 05' 49.77680'' N,13° 28' 51.86022'' E
P107,0121 - Tršnice (mimo) - Luby u Chebu (včetně),"5,838",N - Přejezd zabezpečený pouze výstražným křížem,Karlovarský kraj,67299 - OŘ Ústí nad Labem,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 09' 21.86571'' N,12° 22' 45.89950'' E
P1070,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"21,085",S - Světelná PZZ se závorami,Středočeský kraj,66699 - OŘ Praha,I. - silnice I.třídy,50° 05' 33.20087'' N,13° 28' 13.86232'' E
P1071,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"21,245",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,D2 - místní komunikace – nepřístupné motorovým vozidlům,50° 05' 29.88698'' N,13° 28' 07.36223'' E
P1072,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"21,918",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,H - účelové komunikace - polní cesty hlavní,50° 05' 20.19792'' N,13° 27' 37.98471'' E
P1073,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"22,530",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,V - účelové komunikace - polní cesty vedlejší,50° 05' 16.50994'' N,13° 27' 08.06794'' E
P1074,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"23,988",S - Světelná PZZ bez závor,Středočeský kraj,66699 - OŘ Praha,C - místní komunikace - obslužná,50° 05' 25.59544'' N,13° 26' 04.21851'' E
P1075,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"24,768",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,3L - účelové komunikace - lesní cesty 3.třídy,50° 05' 24.32136'' N,13° 25' 28.90005'' E
P1076,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"26,427",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,50° 05' 28.77667'' N,13° 24' 07.25029'' E
P1077,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"26,680",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,66699 - OŘ Praha,III. - silnice III.třídy,50° 05' 32.71175'' N,13° 23' 56.90912'' E
P1078,0391 - Rakovník (mimo) - Blatno u Jesenice (mimo),"27,350",N - Přejezd zabezpečený pouze výstražným křížem,Ústecký kraj,66699 - OŘ Praha,D - účelové komunikace - polní cesty doplňkové,50° 05' 49.08606'' N,13° 23' 36.15419'' E
P1079,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"0,147",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,49° 00' 40.95161'' N,14° 28' 48.16348'' E
P108,0121 - Tršnice (mimo) - Luby u Chebu (včetně),"6,025",N - Přejezd zabezpečený pouze výstražným křížem,Karlovarský kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 09' 24.68608'' N,12° 22' 37.25710'' E
P1080,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"0,406",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,49° 00' 37.06616'' N,14° 28' 37.29941'' E
P1081,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"116,285",S - Světelná PZZ se závorami,Jihočeský kraj,85499 - OŘ Plzeň,B - místní komunikace - sběrná,48° 57' 15.72436'' N,14° 28' 20.48299'' E
P1082,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"116,952",S - Světelná PZZ se závorami,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,48° 57' 33.73075'' N,14° 28' 33.21324'' E
P1083,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"117,570",S - Světelná PZZ se závorami,Jihočeský kraj,85499 - OŘ Plzeň,B - místní komunikace - sběrná,48° 57' 37.26966'' N,14° 29' 03.43906'' E
P1084,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"117,933",S - Světelná PZZ se závorami,Jihočeský kraj,85499 - OŘ Plzeň,C - místní komunikace - obslužná,48° 57' 39.51829'' N,14° 29' 20.43750'' E
P1085,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"165,875",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,48° 46' 31.69155'' N,14° 56' 06.20247'' E
P1086,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"169,653",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,48° 47' 29.92574'' N,14° 53' 28.67887'' E
P1087,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"171,591",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,48° 47' 46.83420'' N,14° 51' 59.08360'' E
P1088,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"173,793",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 48' 26.19724'' N,14° 50' 40.45862'' E
P1089,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"174,803",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 48' 47.43897'' N,14° 50' 04.67667'' E
P1091,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"176,518",M - Mechanická PZZ,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 49' 14.19738'' N,14° 48' 57.47016'' E
P1092,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"177,464",S - Světelná PZZ se závorami,Jihočeský kraj,85499 - OŘ Plzeň,II. - silnice II.třídy,48° 49' 27.75391'' N,14° 48' 16.03409'' E
P1093,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"178,566",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 49' 48.25726'' N,14° 47' 33.04829'' E
P1094,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"179,347",M - Mechanická PZZ,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 50' 03.10098'' N,14° 47' 02.66494'' E
P1095,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"181,072",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 50' 31.86710'' N,14° 45' 51.08359'' E
P1096,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"181,878",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,48° 50' 45.85673'' N,14° 45' 17.73770'' E
P1097,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"182,150",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 50' 51.05691'' N,14° 45' 07.04067'' E
P1098,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"182,993",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 51' 05.95220'' N,14° 44' 32.51455'' E
P1099,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"183,743",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 51' 23.39645'' N,14° 44' 08.05835'' E
P11,0101 - Praha-Bubny (mimo) - Chomutov-záp.zhlaví (mimo),"9,553",S - Světelná PZZ bez závor,Hlavní město Praha,66699 - OŘ Praha,C - místní komunikace - obslužná,50° 05' 23.38280'' N,14° 19' 31.03170'' E
P110,0121 - Tršnice (mimo) - Luby u Chebu (včetně),"7,094",N - Přejezd zabezpečený pouze výstražným křížem,Karlovarský kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 09' 49.86626'' N,12° 22' 09.05641'' E
P1100,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"184,671",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 51' 47.51124'' N,14° 43' 41.11006'' E
P1101,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"185,427",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 52' 05.82733'' N,14° 43' 16.56515'' E
P1102,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"186,634",M - Mechanická PZZ,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 52' 31.25319'' N,14° 42' 31.90881'' E
P1103,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"187,352",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,48° 52' 45.08685'' N,14° 42' 03.60421'' E
P1104,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"188,085",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 52' 59.22854'' N,14° 41' 34.73707'' E
P1105,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"189,131",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 53' 18.92661'' N,14° 40' 52.99782'' E
P1106,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"190,167",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,48° 53' 46.36829'' N,14° 40' 31.27062'' E
P1107,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"191,850",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,48° 53' 52.27828'' N,14° 39' 27.40153'' E
P1108,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"193,920",S - Světelná PZZ se závorami,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 53' 31.71193'' N,14° 38' 12.38564'' E
P1109,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"194,304",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,48° 53' 34.35505'' N,14° 37' 53.96327'' E
P111,0121 - Tršnice (mimo) - Luby u Chebu (včetně),"8,128",S - Světelná PZZ bez závor,Karlovarský kraj,67299 - OŘ Ústí nad Labem,O - účelové komunikace - ostatní,50° 10' 20.33833'' N,12° 22' 21.62452'' E
P1110,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"196,225",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,48° 54' 03.28877'' N,14° 36' 40.76842'' E
P1111,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"199,618",M - Mechanická PZZ,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 54' 53.92511'' N,14° 35' 11.34723'' E
P1112,0401 - Gmünd NÖ (ÖBB) (část) - Plzeň hl.n.-os.n. (mimo),"201,649",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,O - účelové komunikace - ostatní,48° 55' 29.29826'' N,14° 34' 23.33414'' E
